'id_car_serie','id_car_model','id_car_generation','name','date_create','date_update','id_car_type'
'63152','1175','123137','Минивэн','1586859723','1586859723','1'
'63153','1175','123138','Микровэн','1586859723','1586859723','1'
'63154','20358','123186','Минивэн','1586859727','1586859727','1'
'63155','2352','123166','Кабриолет','1586859729','1586859729','1'
'63156','2340','123168','Кабриолет','1586859732','1586859732','1'
'63157','2344','123170','Седан','1586859735','1586859735','1'
'63158','2345','123142','Седан','1586859736','1586859736','1'
'63159','22858','123184','Внедорожник','1586859783','1586859783','1'
'63160','23299','124699','Кабриолет','1586859784','1586859784','1'
'63161','20362','123188','Родстер','1586859785','1586859785','1'
'63162','2353','123189','Родстер','1586859785','1586859785','1'
'63163','22859','123191','Седан','1586859788','1586859788','1'
'63164','22860','123194','Лимузин','1586859790','1586859790','1'
'63165','22861','123195','Купе','1586859790','1586859790','1'
'63166','22862','123196','Кабриолет','1586859790','1586859790','1'
'63167','22863','127007','Кабриолет','1586859790','1586859790','1'
'63168','1316','123244','Компактвэн','1586859795','1586859795','1'
'63169','1316','123245','Компактвэн','1586859796','1586859796','1'
'63170','1316','123246','Компактвэн','1586859796','1586859796','1'
'63171','1263','123247','Купе','1586859796','1586859796','1'
'63172','23295','124656','Микровэн','1586859797','1586859797','1'
'63173','22605','123253','Микровэн','1586859841','1586859841','1'
'63174','22605','123254','Компактвэн','1586859841','1586859841','1'
'63175','22611','123255','Минивэн','1586859841','1586859841','1'
'63176','22865','123256','Минивэн','1586859841','1586859841','1'
'63177','19722','123257','Седан','1586859841','1586859841','1'
'63178','1277','127008','Компактвэн','1586859842','1586859842','1'
'63179','22866','123258','Микровэн','1586859842','1586859842','1'
'63180','20403','123269','Минивэн','1586859843','1586859843','1'
'63181','20405','123270','Седан','1586859843','1586859843','1'
'63182','20408','123271','Минивэн','1586859844','1586859844','1'
'63183','20408','123272','Минивэн','1586859844','1586859844','1'
'63184','20409','123273','Минивэн','1586859844','1586859844','1'
'63185','1308','123280','Седан','1586859846','1586859846','1'
'63186','20419','123281','Минивэн','1586859847','1586859847','1'
